Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-09-13,18262.99,18262.99,18001.97,18066.75,4141670000,0,0
2016-09-14,18073.39,18198.34,17957.79,18034.77,3664100000,0,0
2016-09-15,18024.91,18274.49,17977.33,18212.48,3373720000,0,0
2016-09-16,18217.21,18238.33,18016.93,18123.8,5014360000,0,0
2016-09-19,18154.82,18297.64,18070.72,18120.17,3163000000,0,0
2016-09-20,18175.36,18269.25,18088.77,18129.96,3140730000,0,0
2016-09-21,18164.96,18339.28,18083.84,18293.7,3712090000,0,0
2016-09-22,18343.76,18497.41,18327.95,18392.46,3552830000,0,0
2016-09-23,18377.36,18438.68,18210.71,18261.45,3317190000,0,0
2016-09-26,18217.76,18240.25,18027.65,18094.83,3216170000,0,0
2016-09-27,18099.21,18271.21,18019.19,18228.3,3437770000,0,0
2016-09-28,18240.49,18411.53,18135.27,18339.24,3891460000,0,0
2016-09-29,18322.88,18421.9,18073.7,18143.45,4249220000,0,0
2016-09-30,18196.94,18402.19,18163.38,18308.15,4173340000,0,0
2016-10-03,18279.6,18339.79,18155.2,18253.85,3137550000,0,0
2016-10-04,18267.68,18375.23,18094.28,18168.45,3750890000,0,0
2016-10-05,18205.5,18370.16,18158.88,18281.03,3906550000,0,0
2016-10-06,18280.42,18345.55,18103.7,18268.5,3461550000,0,0
2016-10-07,18295.35,18366.67,18116.3,18240.49,3619890000,0,0
2016-10-10,18282.95,18464.84,18251.2,18329.04,2916550000,0,0
2016-10-11,18309.59,18338.15,18050.93,18128.66,3438270000,0,0
2016-10-12,18132.63,18230.6,18036.96,18144.2,2977100000,0,0
2016-10-13,18081.88,18155.57,17911.64,18098.94,3580450000,0,0
2016-10-14,18177.35,18303.77,18101.92,18138.38,3228150000,0,0
2016-10-17,18138.73,18216.21,18013.3,18086.4,2830390000,0,0
2016-10-18,18157.22,18293.4,18050.62,18161.94,3170000000,0,0
2016-10-19,18175.16,18322.09,18105.92,18202.62,3362670000,0,0
2016-10-20,18161.87,18295.18,18068.8,18162.35,3337170000,0,0
2016-10-21,18152.63,18219.3,17979.88,18145.71,3448850000,0,0
2016-10-24,18197.14,18342.98,18140.34,18223.03,3357320000,0,0
2016-10-25,18206.52,18327.91,18072.54,18169.27,3751340000,0,0
2016-10-26,18103.8,18308.95,17988.37,18199.33,3775200000,0,0
2016-10-27,18234.81,18340.87,18084.76,18169.68,4204830000,0,0
2016-10-28,18193.79,18326.88,18040.94,18161.19,4019510000,0,0
2016-10-31,18176.6,18256.89,18069.97,18142.42,3922400000,0,0
2016-11-01,18158.41,18222.1,17928.14,18037.1,4532160000,0,0
2016-11-02,18017.72,18110.78,17885.71,17959.64,4248580000,0,0
2016-11-03,17978.75,18077.26,17870.0,17930.67,3886740000,0,0
2016-11-04,17928.35,18053.51,17815.01,17888.28,3837860000,0,0
2016-11-07,17994.64,18292.78,17994.64,18259.6,3736060000,0,0
2016-11-08,18251.38,18427.79,18153.18,18332.74,3916930000,0,0
2016-11-09,18317.26,18715.1,18084.25,18589.69,6264150000,0,0
2016-11-10,18603.14,19020.72,18500.45,18807.88,6451640000,0,0
2016-11-11,18781.65,18944.12,18633.04,18847.66,4988050000,0,0
2016-11-14,18876.77,19098.04,18651.25,18868.69,5367200000,0,0
2016-11-15,18858.21,19013.46,18704.09,18923.06,4543860000,0,0
2016-11-16,18909.85,18993.29,18736.45,18868.14,3830590000,0,0
2016-11-17,18866.22,18989.51,18750.42,18903.82,3809160000,0,0
2016-11-18,18905.33,18995.62,18781.54,18867.93,3572400000,0,0
2016-11-21,18898.68,19026.64,18814.45,18956.69,3607010000,0,0
2016-11-22,18970.39,19114.89,18877.42,19023.87,3957940000,0,0
2016-11-23,19015.52,19154.37,18920.74,19083.18,3418640000,0,0
2016-11-25,19093.72,19211.51,19052.02,19152.14,1584600000,0,0
2016-11-28,19122.14,19201.96,18999.29,19097.9,3505650000,0,0
2016-11-29,19064.07,19214.97,18997.37,19121.6,3706560000,0,0
2016-11-30,19135.64,19326.5,19035.86,19123.58,5533980000,0,0
2016-12-01,19149.2,19340.74,19017.11,19191.93,5063740000,0,0
2016-12-02,19161.25,19284.28,19057.94,19170.42,3779500000,0,0
2016-12-05,19244.35,19274.85,19186.73,19216.24,3895230000,0,0
2016-12-06,19219.91,19332.7,19105.5,19251.78,3855320000,0,0
2016-12-07,19241.99,19584.17,19162.93,19549.62,4501820000,0,0
2016-12-08,19554.55,19722.37,19448.67,19614.81,4200580000,0,0
2016-12-09,19631.35,19801.87,19533.87,19756.85,3884480000,0,0
2016-12-12,19770.2,19926.51,19626.42,19796.43,4034510000,0,0
2016-12-13,19852.21,19953.75,19846.45,19911.21,3857590000,0,0
2016-12-14,19876.13,20046.46,19696.24,19792.53,4406970000,0,0
2016-12-15,19814.45,20004.64,19725.45,19852.24,4168200000,0,0
2016-12-16,19909.01,20004.65,19742.57,19843.41,5920340000,0,0
2016-12-19,19836.66,19989.55,19752.12,19883.06,3248370000,0,0
2016-12-20,19920.59,20065.19,19853.48,19974.62,3298780000,0,0
2016-12-21,19968.97,20059.23,19860.35,19941.96,2852230000,0,0
2016-12-22,19922.68,20023.96,19801.63,19918.88,2876320000,0,0
2016-12-23,19908.61,19990.24,19835.87,19933.81,2020550000,0,0
2016-12-27,19948.33,20032.42,19885.79,19945.04,1987080000,0,0
2016-12-28,19964.31,20020.16,19807.15,19833.68,2392360000,0,0
2016-12-29,19837.61,19925.9,19749.73,19819.78,2336370000,0,0
2016-12-30,19833.17,19895.15,19694.39,19762.6,2670900000,0,0
